run_key,experiment,case_id,scenario_group,explicitness,condition,planner_name,repeat_index,success,error,memory_retrieval_precision,memory_retrieval_recall,preference_match,task_coverage,executable_plan,skill_chain_correct,conflict_selection_correct,latency_ms,model,system_fingerprint,prompt_hash,response_id,prompt_tokens,completion_tokens
learning-06-implicit:clean:clean:feedback_only:0,clean,learning-06-implicit,learning,implicit,clean,feedback_only,0,True,,1.0,0.5,False,True,True,True,True,0.12829200000000207,,,,,0,0
learning-06-implicit:clean:clean:layered_memory:0,clean,learning-06-implicit,learning,implicit,clean,layered_memory,0,True,,1.0,1.0,True,True,True,True,True,0.12741600000001907,,,,,0,0
family_education-01-full:clean:clean:no_memory:0,clean,family_education-01-full,family_education,full,clean,no_memory,0,True,,0.0,0.0,True,True,True,True,True,0.032124999999993964,,,,,0,0
family_education-01-full:clean:clean:preference_only:0,clean,family_education-01-full,family_education,full,clean,preference_only,0,True,,1.0,0.5,True,True,True,True,True,0.16487500000000876,,,,,0,0
family_education-01-full:clean:clean:feedback_only:0,clean,family_education-01-full,family_education,full,clean,feedback_only,0,True,,1.0,0.5,True,True,True,True,True,0.12924999999999742,,,,,0,0
family_education-01-full:clean:clean:layered_memory:0,clean,family_education-01-full,family_education,full,clean,layered_memory,0,True,,1.0,1.0,True,True,True,True,True,0.12220800000001253,,,,,0,0
family_education-01-style_only:clean:clean:no_memory:0,clean,family_education-01-style_only,family_education,style_only,clean,no_memory,0,True,,0.0,0.0,True,False,True,True,True,0.025541999999989518,,,,,0,0
family_education-01-style_only:clean:clean:preference_only:0,clean,family_education-01-style_only,family_education,style_only,clean,preference_only,0,True,,1.0,0.5,True,False,True,True,True,0.1305000000000056,,,,,0,0
family_education-01-style_only:clean:clean:feedback_only:0,clean,family_education-01-style_only,family_education,style_only,clean,feedback_only,0,True,,1.0,0.5,True,True,True,True,True,0.12179200000000945,,,,,0,0
family_education-01-style_only:clean:clean:layered_memory:0,clean,family_education-01-style_only,family_education,style_only,clean,layered_memory,0,True,,1.0,1.0,True,True,True,True,True,0.11695800000000034,,,,,0,0
family_education-01-item_only:clean:clean:no_memory:0,clean,family_education-01-item_only,family_education,item_only,clean,no_memory,0,True,,0.0,0.0,False,True,True,True,True,0.02483300000000188,,,,,0,0
family_education-01-item_only:clean:clean:preference_only:0,clean,family_education-01-item_only,family_education,item_only,clean,preference_only,0,True,,1.0,0.5,True,True,True,True,True,0.13758299999999668,,,,,0,0
family_education-01-item_only:clean:clean:feedback_only:0,clean,family_education-01-item_only,family_education,item_only,clean,feedback_only,0,True,,1.0,0.5,False,True,True,True,True,0.11787499999998952,,,,,0,0
family_education-01-item_only:clean:clean:layered_memory:0,clean,family_education-01-item_only,family_education,item_only,clean,layered_memory,0,True,,1.0,1.0,True,True,True,True,True,0.11166700000000973,,,,,0,0
family_education-01-implicit:clean:clean:no_memory:0,clean,family_education-01-implicit,family_education,implicit,clean,no_memory,0,True,,0.0,0.0,False,False,True,True,True,0.0294170000000038,,,,,0,0
family_education-01-implicit:clean:clean:preference_only:0,clean,family_education-01-implicit,family_education,implicit,clean,preference_only,0,True,,1.0,0.5,True,False,True,True,True,0.14816600000000513,,,,,0,0
family_education-01-implicit:clean:clean:feedback_only:0,clean,family_education-01-implicit,family_education,implicit,clean,feedback_only,0,True,,1.0,0.5,False,True,True,True,True,0.1285000000000036,,,,,0,0
family_education-01-implicit:clean:clean:layered_memory:0,clean,family_education-01-implicit,family_education,implicit,clean,layered_memory,0,True,,1.0,1.0,True,True,True,True,True,0.1221250000000007,,,,,0,0
family_education-02-full:clean:clean:no_memory:0,clean,family_education-02-full,family_education,full,clean,no_memory,0,True,,0.0,0.0,True,True,True,True,True,0.021666000000003516,,,,,0,0
family_education-02-full:clean:clean:preference_only:0,clean,family_education-02-full,family_education,full,clean,preference_only,0,True,,1.0,0.5,True,True,True,True,True,0.12479199999998469,,,,,0,0
family_education-02-full:clean:clean:feedback_only:0,clean,family_education-02-full,family_education,full,clean,feedback_only,0,True,,1.0,0.5,True,True,True,True,True,0.11387499999998552,,,,,0,0
family_education-02-full:clean:clean:layered_memory:0,clean,family_education-02-full,family_education,full,clean,layered_memory,0,True,,1.0,1.0,True,True,True,True,True,0.11166700000000973,,,,,0,0
family_education-02-style_only:clean:clean:no_memory:0,clean,family_education-02-style_only,family_education,style_only,clean,no_memory,0,True,,0.0,0.0,True,False,True,True,True,0.0234169999999978,,,,,0,0
family_education-02-style_only:clean:clean:preference_only:0,clean,family_education-02-style_only,family_education,style_only,clean,preference_only,0,True,,1.0,0.5,True,False,True,True,True,0.12170899999999762,,,,,0,0
family_education-02-style_only:clean:clean:feedback_only:0,clean,family_education-02-style_only,family_education,style_only,clean,feedback_only,0,True,,1.0,0.5,True,True,True,True,True,0.11441700000000554,,,,,0,0
family_education-02-style_only:clean:clean:layered_memory:0,clean,family_education-02-style_only,family_education,style_only,clean,layered_memory,0,True,,1.0,1.0,True,True,True,True,True,0.10899999999999799,,,,,0,0
family_education-02-item_only:clean:clean:no_memory:0,clean,family_education-02-item_only,family_education,item_only,clean,no_memory,0,True,,0.0,0.0,False,True,True,True,True,0.023708000000011165,,,,,0,0
family_education-02-item_only:clean:clean:preference_only:0,clean,family_education-02-item_only,family_education,item_only,clean,preference_only,0,True,,1.0,0.5,True,True,True,True,True,0.12999999999999123,,,,,0,0
family_education-02-item_only:clean:clean:feedback_only:0,clean,family_education-02-item_only,family_education,item_only,clean,feedback_only,0,True,,1.0,0.5,False,True,True,True,True,0.15604099999999566,,,,,0,0
family_education-02-item_only:clean:clean:layered_memory:0,clean,family_education-02-item_only,family_education,item_only,clean,layered_memory,0,True,,1.0,1.0,True,True,True,True,True,0.11749999999999261,,,,,0,0
family_education-02-implicit:clean:clean:no_memory:0,clean,family_education-02-implicit,family_education,implicit,clean,no_memory,0,True,,0.0,0.0,False,False,True,True,True,0.026458000000006976,,,,,0,0
family_education-02-implicit:clean:clean:preference_only:0,clean,family_education-02-implicit,family_education,implicit,clean,preference_only,0,True,,1.0,0.5,True,False,True,True,True,0.12487499999999652,,,,,0,0
family_education-02-implicit:clean:clean:feedback_only:0,clean,family_education-02-implicit,family_education,implicit,clean,feedback_only,0,True,,1.0,0.5,False,True,True,True,True,0.11720899999997925,,,,,0,0
family_education-02-implicit:clean:clean:layered_memory:0,clean,family_education-02-implicit,family_education,implicit,clean,layered_memory,0,True,,1.0,1.0,True,True,True,True,True,0.11233300000002,,,,,0,0
family_education-03-full:clean:clean:no_memory:0,clean,family_education-03-full,family_education,full,clean,no_memory,0,True,,0.0,0.0,True,True,True,True,True,0.023250000000002435,,,,,0,0
family_education-03-full:clean:clean:preference_only:0,clean,family_education-03-full,family_education,full,clean,preference_only,0,True,,1.0,0.5,True,True,True,True,True,0.12637499999998414,,,,,0,0
family_education-03-full:clean:clean:feedback_only:0,clean,family_education-03-full,family_education,full,clean,feedback_only,0,True,,1.0,0.5,True,True,True,True,True,0.11487499999998652,,,,,0,0
family_education-03-full:clean:clean:layered_memory:0,clean,family_education-03-full,family_education,full,clean,layered_memory,0,True,,1.0,1.0,True,True,True,True,True,0.11066699999998098,,,,,0,0
family_education-03-style_only:clean:clean:no_memory:0,clean,family_education-03-style_only,family_education,style_only,clean,no_memory,0,True,,0.0,0.0,True,False,True,True,True,0.02395899999999007,,,,,0,0
family_education-03-style_only:clean:clean:preference_only:0,clean,family_education-03-style_only,family_education,style_only,clean,preference_only,0,True,,1.0,0.5,True,False,True,True,True,0.12554100000000679,,,,,0,0
family_education-03-style_only:clean:clean:feedback_only:0,clean,family_education-03-style_only,family_education,style_only,clean,feedback_only,0,True,,1.0,0.5,True,True,True,True,True,0.11804100000001316,,,,,0,0
family_education-03-style_only:clean:clean:layered_memory:0,clean,family_education-03-style_only,family_education,style_only,clean,layered_memory,0,True,,1.0,1.0,True,True,True,True,True,0.11545899999998444,,,,,0,0
family_education-03-item_only:clean:clean:no_memory:0,clean,family_education-03-item_only,family_education,item_only,clean,no_memory,0,True,,0.0,0.0,False,True,True,True,True,0.024790999999996233,,,,,0,0
family_education-03-item_only:clean:clean:preference_only:0,clean,family_education-03-item_only,family_education,item_only,clean,preference_only,0,True,,1.0,0.5,True,True,True,True,True,0.12624999999999442,,,,,0,0
family_education-03-item_only:clean:clean:feedback_only:0,clean,family_education-03-item_only,family_education,item_only,clean,feedback_only,0,True,,1.0,0.5,False,True,True,True,True,0.11800000000000699,,,,,0,0
family_education-03-item_only:clean:clean:layered_memory:0,clean,family_education-03-item_only,family_education,item_only,clean,layered_memory,0,True,,1.0,1.0,True,True,True,True,True,0.11066600000000926,,,,,0,0
family_education-03-implicit:clean:clean:no_memory:0,clean,family_education-03-implicit,family_education,implicit,clean,no_memory,0,True,,0.0,0.0,False,False,True,True,True,0.02608300000001007,,,,,0,0
family_education-03-implicit:clean:clean:preference_only:0,clean,family_education-03-implicit,family_education,implicit,clean,preference_only,0,True,,1.0,0.5,True,False,True,True,True,0.12808400000000053,,,,,0,0
family_education-03-implicit:clean:clean:feedback_only:0,clean,family_education-03-implicit,family_education,implicit,clean,feedback_only,0,True,,1.0,0.5,False,True,True,True,True,0.11941600000001107,,,,,0,0
family_education-03-implicit:clean:clean:layered_memory:0,clean,family_education-03-implicit,family_education,implicit,clean,layered_memory,0,True,,1.0,1.0,True,True,True,True,True,0.11891699999999616,,,,,0,0
family_education-04-full:clean:clean:no_memory:0,clean,family_education-04-full,family_education,full,clean,no_memory,0,True,,0.0,0.0,True,True,True,True,True,0.022208000000023542,,,,,0,0
family_education-04-full:clean:clean:preference_only:0,clean,family_education-04-full,family_education,full,clean,preference_only,0,True,,1.0,0.5,True,True,True,True,True,0.12366600000002226,,,,,0,0
family_education-04-full:clean:clean:feedback_only:0,clean,family_education-04-full,family_education,full,clean,feedback_only,0,True,,1.0,0.5,True,True,True,True,True,0.11504199999998188,,,,,0,0
family_education-04-full:clean:clean:layered_memory:0,clean,family_education-04-full,family_education,full,clean,layered_memory,0,True,,1.0,1.0,True,True,True,True,True,0.12141600000001307,,,,,0,0
family_education-04-style_only:clean:clean:no_memory:0,clean,family_education-04-style_only,family_education,style_only,clean,no_memory,0,True,,0.0,0.0,True,False,True,True,True,0.02412500000001372,,,,,0,0
family_education-04-style_only:clean:clean:preference_only:0,clean,family_education-04-style_only,family_education,style_only,clean,preference_only,0,True,,1.0,0.5,True,False,True,True,True,0.12766699999999798,,,,,0,0
family_education-04-style_only:clean:clean:feedback_only:0,clean,family_education-04-style_only,family_education,style_only,clean,feedback_only,0,True,,1.0,0.5,True,True,True,True,True,0.12245899999999144,,,,,0,0
family_education-04-style_only:clean:clean:layered_memory:0,clean,family_education-04-style_only,family_education,style_only,clean,layered_memory,0,True,,1.0,1.0,True,True,True,True,True,0.12216600000000688,,,,,0,0
family_education-04-item_only:clean:clean:no_memory:0,clean,family_education-04-item_only,family_education,item_only,clean,no_memory,0,True,,0.0,0.0,False,True,True,True,True,0.02362499999999934,,,,,0,0
